Date,Food,Machinery,Transport,Petroleum,Textile,Agri,Metal,Miscellanous,Other,Total_BOP,Services,Target
2020-04-01,422,339,131,722,285,541,299,61,343,3144,516,3660
2020-05-01,362,348,88,418,198,528,234,50,578,2805,387,3192
2020-06-01,482,701,165,396,231,581,244,59,702,3560,644,4204
2020-07-01,489,733,131,556,247,597,316,81,406,3555,765,4320
2020-08-01,394,594,96,746,290,536,290,79,212,3237,459,3696
2020-09-01,487,609,167,775,324,661,316,98,382,3818,543,4361
2020-10-01,451,517,154,668,299,647,340,100,296,3472,710,4182
2020-11-01,685,552,182,693,389,629,378,105,465,4079,546,4625
2020-12-01,774,822,267,845,499,674,395,108,630,5014,768,5782
2021-01-01,705,718,268,583,514,678,387,104,476,4433,644,5077
2021-02-01,675,602,213,858,411,629,441,96,576,4501,678,5179
2021-03-01,668,747,366,947,504,821,451,108,593,5205,628,5833
2021-04-01,608,750,335,918,445,819,430,100,564,4969,575,5544
2021-05-01,618,711,269,935,393,816,368,87,762,4959,597,5556
2021-06-01,681,966,298,1223,446,901,472,97,1238,6322,852,71742021-07-01,681,966,298,1223,446,905,472,97,11172,16260,1971,18231
