Item,Unit,Open Market,USCP,Difference,% Difference,Date
Atta,20 KG,1137.15,800,-337.15,-29.6,6/24/2021
Tota Basmati Rice,1 KG,93.55,84,-9.55,-10.2,6/24/2021
Daal Masoor,1 KG,158.55,130,-28.55,-18,6/24/2021
Daal Chana,1 KG,146.39,145,-1.39,-0.9,6/24/2021
Sugar,1 KG,98.14,68,-30.14,-30.7,6/24/2021
Ghee Manpasand,1 KG,275.11,170,-105.11,-38.2,6/24/2021
Ghee Handi,1 KG,271.85,170,-101.85,-37.4,6/24/2021
White Gram,1 KG,152.5,120,-32.5,-21.3,6/24/2021
Super Basmati Rice,1 KG,156.69,140,-16.69,-10.6,6/24/2021
Rice Sella (Kainat 1121),1 KG,152.06,139,-13.06,-8.5,6/24/2021
Atta,20 KG,1125.22,800,-325.22,-28.9,7/1/2021
Tota Basmati Rice,1 KG,93.55,84,-9.55,-10.21,7/1/2021
Daal Masoor,1 KG,157.3,130,-27.3,-17.36,7/1/2021
Daal Chana,1 KG,145.73,145,-0.73,-0.5,7/1/2021
Sugar,1 KG,98.1,68,-30.1,-30.68,7/1/2021
Ghee Manpasand,1 KG,275.11,170,-105.11,-38.21,7/1/2021
Ghee Handi,1 KG,272.17,170,-102.17,-37.54,7/1/2021
White Gram,1 KG,153.25,120,-33.25,-21.7,7/1/2021
Super Basmati Rice,1 KG,156.43,140,-16.43,-10.5,7/1/2021
Rice Sella (Kainat 1121),1 KG,152.06,139,-13.06,-8.59,7/1/2021
Atta,20 KG,1122.72,800,-322.72,-28.74,7/8/2021
Tota Basmati Rice,1 KG,93.78,84,-9.78,-10.43,7/8/2021
Daal Masoor,1 KG,156.76,130,-26.76,-17.07,7/8/2021
Daal Chana,1 KG,146.21,145,-1.21,-0.83,7/8/2021
Sugar,1 KG,100.65,68,-32.65,-32.44,7/8/2021
Ghee Manpasand,1 KG,276.78,170,-106.78,-38.58,7/8/2021
Ghee Handi,1 KG,274.8,170,-104.8,-38.14,7/8/2021
White Gram,1 KG,153.65,120,-33.65,-21.9,7/8/2021
Super Basmati Rice,1 KG,154.39,140,-14.39,-9.32,7/8/2021
Rice Sella (Kainat 1121),1 KG,151.38,139,-12.38,-8.18,7/8/2021
Atta,20 KG,1128,800,-328,-29,7/15/2021
Tota Basmati Rice,1 KG,94.83,84,-10.83,-11.4,7/15/2021
Daal Masoor,1 KG,156.74,130,-26.74,-17,7/15/2021
Daal Chana,1 KG,145.87,145,-0.87,-0.6,7/15/2021
Sugar,1 KG,103.69,68,-35.69,-34.4,7/15/2021
Ghee Manpasand,1 KG,281.29,170,-111.29,-39.5,7/15/2021
Ghee Handi,1 KG,276.9,170,-106.9,-38.6,7/15/2021
White Gram,1 KG,153.56,120,-33.56,-21.8,7/15/2021
Super Basmati Rice,1 KG,154.6,140,-14.6,-9.4,7/15/2021
Rice Sella (Kainat 1121),1 KG,151.38,139,-12.38,-8.1,7/15/2021
Atta,20 KG,1134.58,950,-184.58,-16.27,29-07-2021
Tota Basmati Rice,1 KG,95.22,84,-11.22,-11.78,29-07-2021
Daal Masoor,1 KG,156.86,130,-26.86,-17.12,29-07-2021
Daal Chana,1 KG,145.78,145,-0.78,-0.54,29-07-2021
Sugar,1 KG,105.23,85,-20.23,-19.22,29-07-2021
Ghee Manpasand,1 KG,285.48,260,-25.48,-8.93,29-07-2021
Ghee Handi,1 KG,280.79,260,-20.79,-7.4,29-07-2021
White Gram,1 KG,154.05,120,-34.05,-22.1,29-07-2021
Super Basmati Rice,1 KG,155.33,140,-15.33,-9.87,29-07-2021
Rice Sella (Kainat 1121),1 KG,152.05,139,-13.05,-8.58,29-07-2021
