24-06-2021,\Bannu_,N)1, 54 L0i.t0re0,in1540.00,1540.00
17-06-2021,\Bannu_,N)1, 54 L0i.t0re0,in1540.00,1540.00
10-06-2021,\Bannu_,),1 55 4L0itr.0e0,in 1540.00,1540.0
03-06-2021,\Bannu_,),1 55 4L0itr.0e0,in 1540.00,1540.0
27-05-2021,\Bannu_,),1 55 4L0itr.0e0,in 1540.00,1540.0
20-05-2021,\Bannu_,),1 55 4L0itr.0e0,in 1540.00,1540.0
06-05-2021,\Bannu_,),1 55 4L0itr.0e0,in 1540.00,1540.0
29-04-2021,\Bannu_,N)1, 554 L0i.t0re0,in1540.00,1540.00
22-04-2021,\Bannu_,),1 55 4L0itr.0e0,in 1540.00,1540.0
15-04-2021,\Bannu_,N)1, 54 L0i.t0re0,in1540.00,1540.00
08-04-2021,\Bannu_,N)1, 54 L0i.t0re0,in1540.00,1540.00
01-04-2021,\Bannu_,),1 55 4L0itr.0e0,in 1540.00,1540.0
25-03-2021,\Bannu_,),1 54 9L5itr.0e0,in 1495.00,1495.0
18-03-2021,\Bannu_,),1 54 9L5itr.0e0,in 1495.00,1495.0
11-03-2021,\Bannu_,N)1, 459 L5i.t0re0,in1495.00,1495.00
04-03-2021,\Bannu_,1)4, 955 L.0itr0,T1i4n95.00,1495.00
25-02-2021,\Bannu_,N)1, 459 L5i.t0re0,in1495.00,1495.00
18-02-2021,\Bannu_,),1 54 9L5itr.0e0,in 1495.00,1495.0
11-02-2021,\Bannu_,N)1, 459 L5i.t0re0,Tin1495.00,1495.00
04-02-2021,\Bannu_,),1 54 9L5itr.0e0,in 1495.00,1495.0
28-01-2021,\Bannu_,)1,3 52 0L.it0r0e,Ti1n320.00,1320.00
21-01-2021,\Bannu_,re1 T32in0.00,1320.00,1320.0
14-01-2021,\Bannu_,or1 O32th0e.0r 0,im1il3a2r 0B.0ra0,d 1(S32N0).,0 50
07-01-2021,\Bannu_,N)1, 255 L5i.t0re0,in1297.97,1320.00
31-12-2020,\Bannu_,),1 52 6L5it.r0e0,in1265.00,1265.0
24-12-2020,\Bannu_,N)1,2 56 5L.it0r0e,Ti1n265.00,1265.00
17-12-2020,\Bannu_,),1 52 6L5itr.0e0,in 1265.00,1265.0
10-12-2020,\Bannu_,N)1, 256 L5i.t0re0,in1265.00,1265.00
03-12-2020,\Bannu_,N)1, 256 L5i.t0re0,in1265.00,1265.00
26-11-2020,\Bannu_,),1 52 6L5itr.0e0,in 1265.00,1265.0
19-11-2020,\Bannu_,N1)2, 655 L.0it0r,1T2in65.00,1265.00
12-11-2020,\Bannu_,N)1, 256 L5i.t0re0,in1265.00,1265.00
05-11-2020,\Bannu_,N1)2,6 55 .L0it0r,1T2in65.00,1265.00
29-10-2020,\Bannu_,N1)3, 050 L.0it0r,1T3in00.00,1300.00
22-10-2020,\Bannu_,N)1, 350 L0i.t0re0,in1300.00,1300.00
15-10-2020,\Bannu_,N1)3, 050 L.0it0r,1T3in00.00,1300.00
08-10-2020,\Bannu_,1)3, 050 L.0itr0,T1i3n00.00,1300.00
01-10-2020,\Bannu_,1),3 50 0L.i0tr0,T1i3n00.00,1300.00
24-09-2020,\Bannu_,),1 53 0L0itr.0e0,in 1300.00,1300.0
17-09-2020,\Bannu_,),1 53 0L0itr.0e0,in 1300.00,1300.0
10-09-2020,\Bannu_,),1 53 0L0itr.0e0,in 1300.00,1300.0
03-09-2020,\Bannu_,),1 53 0L0itr.0e0,in 1300.00,1300.0
27-08-2020,\Bannu_,),1 53 0L0itr.0e0,in 1300.00,1300.0
20-08-2020,\Bannu_,),1 53 0L0itr.0e0,in 1300.00,1300.0
13-08-2020,\Bannu_,N)1, 350 L0i.t0re0,in1300.00,1300.00
06-08-2020,\Bannu_,N)1, 350 L0i.t0re0,in1300.00,1300.00
29-07-2020,\Bannu_,),1 53 0L0itr.0e0,in 1300.00,1300.0
23-07-2020,\Bannu_,),1 53 0L0itr.0e0,in 1300.00,1300.0
16-07-2020,\Bannu_,N)1, 350 L0i.t0re0,in1300.00,1300.00
09-07-2020,\Bannu_,)1, 350 L0i.t0re0,in1300.00,1300.00
02-07-2020,\Bannu_,N)1, 350 L0i.t0re0,in1300.00,1300.00
25-06-2020,\Bannu_,),1 53 0L0itr.0e0,in 1300.00,1300.0
18-06-2020,\Bannu_,1),3 50 0L.i0tr0,T1i3n00.00,1300.00
11-06-2020,\Bannu_,N)1, 350 L0i.t0re0,in1300.00,1300.00
04-06-2020,\Bannu_,N)1, 350 L0i.t0re0,in1300.00,1300.00
28-05-2020,\Bannu_,),1 53 0L0itr.0e0,in 1300.00,1300.0
21-05-2020,\Bannu_,),1 53 0L0itr.0e0,in 1300.00,1300.0
14-05-2020,\Bannu_,250.00,250.00,250.00
07-05-2020,\Bannu_,1),3 50 0L.i0tr0,T1i3n00.00,1300.00
30-04-2020,\Bannu_,),1 53 0L0itr.0e0,in 1300.00,1300.0
23-04-2020,\Bannu_,1),3 50 0L.i0tr0,T1i3n00.00,1300.00
16-04-2020,\Bannu_,1),3 50 0L.i0tr0,T1i3n00.00,1300.00
09-04-2020,\Bannu_,1),3 50 0L.i0tr0,T1i3n00.00,1300.00
02-04-2020,\Bannu_,1),3 50 0L.i0tr0,T1i3n00.00,1300.00
26-03-2020,\Bannu_,1),3 50 0L.i0tr0,T1i3n00.00,1300.00
19-03-2020,\Bannu_,1),3 50 0L.i0tr0,T1i3n00.00,1300.00
12-03-2020,\Bannu_,1),3 50 0L.i0tr0,T1i3n00.00,1300.00
05-03-2020,\Bannu_,1),3 50 0L.i0tr0,T1i3n00.00,1300.00
27-02-2020,\Bannu_,),1 53 0L0itr.0e0,in 1300.00,1300.0
20-02-2020,\Bannu_,),1 53 0L0itr.0e0,in 1300.00,1300.0
