Metric,Date_T,Value_T,Date_Y,Value_Y,PCT,YTD,One_Year,One_Month
Q1,2022-06-16,194.44,2022-06-09,5.38,2.85%,15.66%,22.15%,5.69%
Q2,2022-06-16,184.98,2022-06-09,6.17,3.45%,10.03%,24.43%,6.89%
Q3,2022-06-16,188.47,2022-06-09,5.66,3.1%,12.1%,25.56%,6.82%
Q4,2022-06-16,186.67,2022-06-09,5.64,3.12%,11.03%,27.32%,7.47%
Q5,2022-06-16,191.69,2022-06-09,5.76,3.1%,14.02%,29.65%,8.77%
Combined,2022-06-16,189.07,2022-06-09,6.19,3.38%,12.46%,27.82%,8.28%
