Date,Close
2019-09-16,23334.15
2019-09-17,23314.98
2019-09-18,23123.13
2019-09-19,23429.34
2019-09-20,23383.91
2019-09-23,23145.92
2019-09-24,23242.49
2019-09-25,23108.36
2019-09-26,23083.25
2019-09-27,23430.12
2019-09-30,23427.6
2019-10-01,23500.24
2019-10-02,23536.08
2019-10-03,23794.56
2019-10-04,23972.47
2019-10-07,24248.22
2019-10-08,24150.71
2019-10-09,24187.77
2019-10-10,24574.58
2019-10-11,24794.59
2019-10-14,24669.22
2019-10-15,24624.71
2019-10-16,24813.33
2019-10-17,24589.99
2019-10-18,24453.83
2019-10-21,23984.51
2019-10-22,24094.48
2019-10-23,24304.12
2019-10-24,24537.83
2019-10-25,24457.65
2019-10-28,24543.78
2019-10-29,24500.5
2019-10-30,24572.48
2019-10-31,24698.78
2019-11-01,24729.7
2019-11-04,25191.77
2019-11-05,25281.96
2019-11-06,25551.19
2019-11-07,25616.92
2019-11-08,25730.62
2019-11-11,26126.93
2019-11-12,26177.27
2019-11-13,26400.68
2019-11-14,26439.91
2019-11-15,26714.13
2019-11-18,27248.39
2019-11-19,27226.93
2019-11-20,26896.8
2019-11-21,26370.44
2019-11-22,26858.99
2019-11-25,27062.61
2019-11-26,26805.46
2019-11-27,27062.69
2019-11-28,27439.12
2019-11-29,27838.52
2019-12-02,28271.45
2019-12-03,28118.73
2019-12-04,28434.53
2019-12-05,28711.7
2019-12-06,28863.44
2019-12-09,28783.59
2019-12-10,28967.89
2019-12-11,28937.45
2019-12-12,29041.75
2019-12-13,29320.16
2019-12-16,29871.91
2019-12-17,29820.47
2019-12-18,29536.05
2019-12-19,28866.67
2019-12-20,29118.2
2019-12-23,28648.23
2019-12-24,28866.37
2019-12-26,29207.19
2019-12-27,29017.57
2019-12-30,29101.84
2019-12-31,29011.73
2020-01-01,29279.97
2020-01-02,29872.97
2020-01-03,29774
2020-01-06,29145.52
2020-01-07,29375.75
2020-01-08,29010.85
2020-01-09,29654.66
2020-01-10,30058.45
2020-01-13,30020.98
2020-01-14,29973.44
2020-01-15,29892.79
2020-01-16,29914.47
2020-01-17,29998.45
2020-01-20,29808.6
2020-01-21,29735.95
2020-01-22,29561.63
2020-01-23,29456.52
2020-01-24,29529.89
