Date,Close
2019-07-02,158.06
2019-07-03,157.61
2019-07-04,156.57
2019-07-05,156.93
2019-07-08,157.32
2019-07-09,157.38
2019-07-10,157.88
2019-07-11,158.49
2019-07-12,158.79
2019-07-15,159.86
2019-07-16,160.06
2019-07-17,159.82
2019-07-18,160.03
2019-07-19,160.19
2019-07-22,160.53
2019-07-23,160.59
2019-07-24,160.78
2019-07-25,160.45
2019-07-26,160.59
2019-07-29,160.45
2019-07-30,160.05
2019-07-31,159.6
2019-08-01,159.42
2019-08-02,159.12
2019-08-05,158.94
2019-08-06,158.65
2019-08-07,158.25
2019-08-08,158.26
2019-08-09,158.45
2019-08-16,158.96
2019-08-17,158.67
2019-08-19,158.62
2019-08-20,158.59
2019-08-21,158.58
2019-08-22,158.23
2019-08-23,157.52
2019-08-26,157.36
2019-08-27,157.26
2019-08-28,157.29
2019-08-29,157.22
2019-08-30,156.86
2019-09-02,156.63
2019-09-03,156.63
2019-09-04,156.23
2019-09-05,156.38
2019-09-06,156.32
2019-09-11,156.31
2019-09-12,156.18
2019-09-13,156.19
2019-09-16,156.24
2019-09-17,156.32
2019-09-18,156.25
2019-09-19,156.24
2019-09-20,156.08
2019-09-23,156.17
2019-09-24,156.15
2019-09-25,156.17
2019-09-26,156.19
2019-09-27,156.17
2019-09-30,156.37
2019-10-01,156.36
2019-10-02,156.35
2019-10-03,156.36
2019-10-04,156.53
2019-10-07,156.41
2019-10-08,156.45
2019-10-09,156.32
2019-10-10,156.17
2019-10-11,156.07
2019-10-14,156.08
2019-10-15,156.06
2019-10-16,156.01
2019-10-17,155.89
2019-10-18,155.91
2019-10-21,155.91
2019-10-22,155.88
2019-10-23,155.89
2019-10-24,155.89
2019-10-25,155.88
2019-10-28,155.84
2019-10-29,155.78
2019-10-30,155.73
2019-10-31,155.67
2019-11-01,155.65
2019-11-04,155.65
2019-11-05,155.64
2019-11-06,155.59
2019-11-07,155.55
2019-11-08,155.47
2019-11-11,155.44
2019-11-12,155.44
2019-11-13,155.4
2019-11-14,155.42
2019-11-15,155.39
2019-11-18,155.35
