Metric,Date_T,Value_T,Date_Y,Value_Y,PCT,YTD,One_Year,One_Month
gold,2022-05-31,142000.0,2022-05-30,0.0,0.0%,12.79%,27.24%,6.37%
kse100,2022-05-31,43078.14,2022-05-30,38.0,0.09%,-4.03%,-10.61%,-5.64%
allshr,2022-05-31,29310.51,2022-05-30,-31.75,-0.11%,-4.8%,-9.61%,-5.62%
pkr_usd,2022-05-30,199.0613,2022-05-27,-0.69,-0.35%,12.63%,28.93%,9.36%
