Date,Close
2019-11-01,87850
2019-11-02,87850
2019-11-03,87850
2019-11-04,87850
2019-11-05,87450
2019-11-06,87250
2019-11-07,87350
2019-11-08,86750
2019-11-09,86550
2019-11-10,86550
2019-11-11,86700
2019-11-12,86200
2019-11-13,86450
2019-11-14,86450
2019-11-15,86200
2019-11-16,86400
2019-11-17,86400
2019-11-18,86200
2019-11-19,85750
2019-11-20,85950
2019-11-20,85900
2019-11-21,85900
2019-11-22,85950
2019-11-23,85940
2019-11-24,85650
2019-11-25,85700
2019-11-26,85750
2019-11-27,85800
2019-11-28,85750
2019-11-29,85200
2019-11-30,85100
2019-12-01,85100
2019-12-02,85200
2019-12-03,85050
2019-12-04,85100
2019-12-05,85050
2019-12-06,85350
2019-12-07,85300
2019-12-08,85300
2019-12-09,85350
2019-12-10,84400
2019-12-11,84350
2019-12-12,84400
2019-12-13,84450
2019-12-14,84550
2019-12-15,84550
2019-12-16,84450
2019-12-17,84400
2019-12-18,85150
2019-12-19,86000
2019-12-20,85650
2019-12-21,85150
2019-12-22,85150
2019-12-23,85200
2019-12-24,86900
2019-12-25,86900
2019-12-26,87900
2019-12-27,88050
2019-12-28,87600
2019-12-29,87600
2019-12-30,87550
2019-12-31,88400
2020-01-01,88100
2020-01-02,88300
2020-01-03,89650
2020-01-04,90100
2020-01-05,91600
2020-01-06,93400
2020-01-07,92100
2020-01-08,93000
2020-01-09,90500
2020-01-10,89800
2020-01-11,90300
2020-01-12,90300
2020-01-13,89000
2020-01-14,89200
2020-01-15,89000
2020-01-16,89000
2020-01-17,89300
2020-01-18,90200
2020-01-19,90200
2020-01-20,89800
2020-01-21,90700
2020-01-22,90300
2020-01-23,90150
2020-01-24,90300
2020-01-25,90300
2020-01-26,90300
2020-01-27,91400
2020-01-28,91400
2020-01-29,90900
2020-01-30,91400
2020-01-31,91500
2020-02-01,91800
2020-02-02,91800
2020-02-03,91100
2020-02-04,90700
2020-02-05,90700
2020-02-06,90750
2020-02-07,90250
2020-02-08,90700
2020-02-09,90700
2020-02-10,90450
2020-02-11,90700
2020-02-12,90600
2020-02-13,90450
2020-02-14,90750
2020-02-15,91300
2020-02-16,91300
2020-02-17,90800
2020-02-18,91150
2020-02-19,92500
2020-02-20,94300
2020-02-21,93650
2020-02-22,95000
2020-02-23,95000
2020-02-24,96300
2020-02-25,96350
2020-02-26,94975
2020-02-27,95200
2020-02-28,92500
2020-02-29,91600
2020-03-01,91600
2020-03-02,92300
2020-03-03,92400
2020-03-04,94100
2020-03-05,94800
2020-03-06,94100
2020-03-07,94500
2020-03-08,94500
2020-03-09,96200
2020-03-10,97400
2020-03-11,98300
2020-03-12,94500
2020-03-13,93600
2020-03-14,90100
2020-03-15,90100
