End_Period,SBP,Banks,Total
2014-04-04,4943.2,4770.3,9713.5
2014-04-11,4983.9,4865.7,9849.599999999999
2014-04-18,7010.0,4743.8,11753.8
2014-04-25,7041.5,4699.2,11740.7
2014-05-02,7240.2,4804.1,12044.3
2014-05-09,8019.8,4865.0,12884.8
2014-05-16,8320.3,4812.5,13132.8
2014-05-23,8649.5,4790.0,13439.5
2014-05-30,8682.9,4782.9,13465.8
2014-06-06,8612.9,4844.0,13456.9
2014-06-13,8669.3,4901.9,13571.199999999999
2014-06-20,9189.5,5074.0,14263.5
2014-06-27,9033.2,4956.9,13990.1
2014-07-04,9602.3,5035.4,14637.699999999999
2014-07-11,9485.8,5027.8,14513.599999999999
2014-07-18,9398.8,5051.4,14450.199999999999
2014-07-25,9275.7,5064.9,14340.6
2014-08-01,9277.0,5029.9,14306.9
2014-08-08,9188.0,5076.1,14264.1
2014-08-15,8902.7,5023.1,13925.800000000001
2014-08-22,8554.4,5027.2,13581.599999999999
2014-08-29,8718.8,4892.9,13611.699999999999
2014-09-05,8693.4,4721.4,13414.8
2014-09-12,8795.5,4729.7,13525.2
2014-09-19,8627.7,4677.3,13305
2014-09-26,8609.8,4600.7,13210.5
2014-10-03,8857.2,4543.6,13400.800000000001
2014-10-10,8882.1,4553.8,13435.900000000001
2014-10-17,8787.3,4677.6,13464.9
2014-10-24,8568.3,4631.7,13200
2014-10-31,8618.6,4824.2,13442.8
2014-11-07,8487.4,4780.4,13267.8
2014-11-14,8493.7,4734.4,13228.1
2014-11-21,8506.4,4713.5,13219.9
2014-11-28,8222.1,4764.5,12986.6
2014-12-05,9203.1,4719.3,13922.400000000001
2014-12-12,9346.5,4695.9,14042.4
2014-12-19,10364.6,4733.9,15098.5
2014-12-26,10304.9,4639.8,14944.7
2015-01-02,10475.8,4736.9,15212.699999999999
2015-01-09,10365.1,4695.1,15060.2
2015-01-16,10330.5,4689.3,15019.8
2015-01-23,10248.7,4815.2,15063.900000000001
2015-01-30,10358.1,4804.6,15162.7
2015-02-06,10416.6,4821.6,15238.2
2015-02-13,11194.2,4842.5,16036.7
2015-02-20,11074.9,4868.8,15943.7
2015-02-27,11207.4,4930.2,16137.599999999999
2015-03-06,11271.9,5012.3,16284.2
2015-03-13,11226.1,5047.6,16273.7
2015-03-20,11067.3,5064.6,16131.9
2015-03-27,11123.3,5070.9,16194.199999999999
2015-04-03,11616.5,5089.8,16706.3
2015-04-10,11758.7,5059.7,16818.4
2015-04-17,12364.0,5127.0,17491
2015-04-24,12565.1,5152.5,17717.6
2015-05-01,12517.3,5172.8,17690.1
2015-05-08,12549.9,5189.4,17739.3
2015-05-15,12511.7,5237.4,17749.1
2015-05-22,12284.4,5209.8,17494.2
2015-05-29,11913.4,5098.7,17012.1
2015-06-05,12312.7,5134.2,17446.9
2015-06-12,12284.3,5164.2,17448.5
2015-06-19,12315.6,5141.5,17457.1
2015-06-26,13088.2,5113.3,18201.5
2015-07-03,13535.2,5179.4,18714.6
2015-07-10,13469.4,5120.5,18589.9
2015-07-17,13543.0,5134.4,18677.4
2015-07-24,13385.8,5150.2,18536
2015-07-31,13767.0,5049.8,18816.8
2015-08-07,13627.8,5051.0,18678.8
2015-08-14,13615.2,5039.8,18655
2015-08-21,13458.4,5050.3,18508.7
2015-08-28,13460.5,5036.5,18497
2015-09-04,13555.7,5042.3,18598
2015-09-11,13689.5,5036.6,18726.1
2015-09-18,13496.2,5004.6,18500.800000000003
2015-09-25,13408.2,4940.9,18349.1
2015-10-02,15202.0,4852.2,20054.2
2015-10-09,15103.6,4889.5,19993.1
2015-10-16,15019.7,4901.1,19920.800000000003
2015-10-23,14918.3,4900.4,19818.699999999997
2015-10-30,14821.0,5024.5,19845.5
2015-11-06,14704.2,5042.1,19746.300000000003
2015-11-13,14588.7,5124.3,19713
2015-11-20,14676.6,5151.6,19828.2
2015-11-27,14787.3,5032.0,19819.3
2015-12-04,15441.4,5009.5,20450.9
2015-12-11,15719.3,4990.0,20709.3
2015-12-18,15612.8,4961.5,20574.3
2015-12-25,16171.6,4902.3,21073.9
2016-01-01,15883.4,4926.7,20810.1
2016-01-08,15824.0,4935.6,20759.6
2016-01-15,15752.3,4937.4,20689.699999999997
2016-01-22,15646.8,4855.3,20502.1
2016-01-29,15435.5,4859.0,20294.5
2016-02-05,15341.0,4854.8,20195.8
2016-02-12,15514.8,4873.1,20387.9
2016-02-19,15478.9,4854.0,20332.9
2016-02-26,15506.5,4845.8,20352.3
2016-03-04,15663.7,4858.3,20522
2016-03-11,15859.0,4859.4,20718.4
2016-03-18,15630.4,4891.1,20521.5
2016-03-25,15588.0,4835.6,20423.6
2016-04-01,16078.1,4806.8,20884.9
2016-04-08,16040.8,4793.5,20834.3
2016-04-15,16027.2,4752.6,20779.800000000003
2016-04-22,15988.8,4801.2,20790
2016-04-29,15904.9,4897.4,20802.3
2016-05-06,16032.7,4801.5,20834.2
2016-05-13,16517.5,4801.9,21319.4
2016-05-20,16810.4,4801.3,21611.7
2016-05-27,16807.2,4794.5,21601.7
2016-06-03,16462.6,4804.0,21266.6
2016-06-10,16546.2,4868.9,21415.1
2016-06-17,16815.5,4955.0,21770.5
2016-06-24,16819.6,4946.2,21765.8
2016-07-01,18128.9,4956.0,23084.9
2016-07-08,18104.4,4958.5,23062.9
2016-07-15,18077.4,5014.0,23091.4
2016-07-22,18036.9,4959.7,22996.600000000002
2016-07-29,18060.7,4942.9,23003.6
2016-08-05,17664.2,4930.9,22595.1
2016-08-12,17719.6,4903.6,22623.199999999997
2016-08-19,18186.8,4894.4,23081.199999999997
2016-08-26,18128.8,4909.9,23038.699999999997
2016-09-02,18065.3,4918.4,22983.699999999997
2016-09-09,17853.7,5004.7,22858.4
2016-09-16,17657.2,5040.7,22697.9
2016-09-23,18395.1,5022.9,23418
2016-09-30,18491.3,5128.5,23619.8
2016-10-07,18410.2,5081.9,23492.1
2016-10-14,19461.7,4999.7,24461.4
2016-10-21,19320.8,5005.7,24326.5
2016-10-28,19130.5,5058.8,24189.3
2016-11-04,19075.9,5077.5,24153.4
2016-11-11,19027.1,5068.7,24095.8
2016-11-18,18846.9,5018.3,23865.2
2016-11-25,18574.8,5040.0,23614.8
2016-12-02,18353.2,4991.2,23344.4
2016-12-09,18323.2,4971.6,23294.800000000003
2016-12-16,18190.4,4941.6,23132
2016-12-23,18299.4,4986.6,23286
2016-12-30,18271.7,4930.5,23202.2
2017-01-06,18309.7,4890.5,23200.2
2017-01-13,18361.0,4830.5,23191.5
2017-01-20,18383.5,4862.7,23246.2
2017-01-27,17593.8,4841.1,22434.9
2017-02-03,17217.8,4813.5,22031.3
2017-02-10,16993.4,4831.1,21824.5
2017-02-17,17027.8,4902.0,21929.8
2017-02-24,16850.8,4971.8,21822.6
2017-03-03,17139.7,5012.1,22151.800000000003
2017-03-10,17238.3,5035.7,22274
2017-03-17,16960.5,5089.7,22050.2
2017-03-24,16730.3,5065.6,21795.9
2017-03-31,16466.2,5105.9,21572.1
2017-04-07,16688.2,5055.9,21744.1
2017-04-14,16416.1,5152.0,21568.1
2017-04-21,16050.1,5100.7,21150.8
2017-04-28,16061.8,4957.4,21019.199999999997
2017-05-05,15912.5,4878.0,20790.5
2017-05-12,15895.9,4782.7,20678.6
2017-05-19,16212.6,4795.2,21007.8
