,END PERIOD,NET RESERVES WITH SBP,NET RESERVES WITH BANKS,TOTAL LIQUID FX RESERVES
97,2013-03-15,7450.5,4985.6,12436.1
98,2013-03-22,7277.4,5092.6,12370.0
99,2013-03-29,7126.0,5123.6,12249.6
100,2013-04-05,6697.4,5061.1,11758.5
101,2013-04-12,6640.2,5049.8,11690.0
102,2013-04-19,6817.0,5121.0,11938.0
103,2013-04-26,6676.9,5087.5,11764.4
104,2013-05-03,6772.4,5090.7,11863.099999999999
105,2013-05-10,6524.5,5076.5,11601.0
106,2013-05-17,6382.9,5050.1,11433.0
107,2013-05-24,6564.7,5059.1,11623.8
108,2013-05-31,6393.1,5081.2,11474.3
109,2013-06-07,6286.9,5159.1,11446.0
110,2013-06-14,6239.0,5101.6,11340.6
111,2013-06-21,6256.5,5088.3,11344.8
112,2013-06-28,6008.4,5011.1,11019.5
113,2013-07-05,5546.5,4997.0,10543.5
114,2013-07-12,5521.1,4980.8,10501.900000000001
115,2013-07-19,5153.3,5049.4,10202.7
116,2013-07-26,5170.8,5053.8,10224.6
117,2013-08-02,5142.7,5088.0,10230.7
118,2013-08-07,5228.5,5098.3,10326.8
119,2013-08-16,5248.1,5151.0,10399.1
120,2013-08-23,5203.6,5186.9,10390.5
121,2013-08-30,4824.1,5170.7,9994.8
122,2013-09-06,5162.4,5210.8,10373.2
123,2013-09-13,5118.3,5256.2,10374.5
124,2013-09-20,4928.4,5282.3,10210.7
125,2013-09-27,4602.1,5321.3,9923.400000000001
126,2013-10-04,3953.6,5174.0,9127.6
127,2013-10-11,4075.4,5131.9,9207.3
128,2013-10-14,4086.0,5144.3,9230.3
129,2013-10-25,4299.4,5197.8,9497.2
130,2013-11-01,4224.5,5285.3,9509.8
131,2013-11-08,3845.4,5232.3,9077.7
132,2013-11-13,3645.8,5219.4,8865.2
133,2013-11-22,3463.7,5332.3,8796.0
134,2013-11-29,3048.2,5198.6,8246.8
135,2013-12-06,2963.1,5097.3,8060.4
136,2013-12-13,3467.8,5058.5,8526.3
137,2013-12-20,3192.9,4897.3,8090.200000000001
138,2013-12-27,3657.3,4864.1,8521.400000000001
139,2014-01-03,3245.0,4804.3,8049.3
140,2014-01-10,3467.2,4849.7,8316.9
141,2014-01-17,3322.3,4846.1,8168.400000000001
142,2014-01-24,3176.6,4817.3,7993.9
143,2014-01-31,3180.3,4808.0,7988.3
144,2014-02-07,2841.3,4748.3,7589.6
145,2014-02-14,3196.7,4797.5,7994.2
146,2014-02-21,3870.8,4783.8,8654.6
147,2014-02-28,3918.6,4825.0,8743.6
148,2014-03-07,4622.6,4753.1,9375.7
149,2014-03-14,4808.5,4840.4,9648.9
150,2014-03-21,4426.4,4717.4,9143.8
151,2014-03-28,5171.6,4692.6,9864.2
152,2014-04-04,4943.2,4770.3,9713.5
153,2014-04-11,4983.9,4865.7,9849.599999999999
154,2014-04-18,7010.0,4743.8,11753.8
155,2014-04-25,7041.5,4699.2,11740.7
156,2014-05-02,7240.2,4804.1,12044.3
157,2014-05-09,8019.8,4865.0,12884.8
158,2014-05-16,8320.3,4812.5,13132.8
159,2014-05-23,8649.5,4790.0,13439.5
160,2014-05-30,8682.9,4782.9,13465.8
161,2014-06-06,8612.9,4844.0,13456.9
162,2014-06-13,8669.3,4901.9,13571.199999999999
163,2014-06-20,9189.5,5074.0,14263.5
164,2014-06-27,9033.2,4956.9,13990.1
165,2014-07-04,9602.3,5035.4,14637.699999999999
166,2014-07-11,9485.8,5027.8,14513.599999999999
167,2014-07-18,9398.8,5051.4,14450.199999999999
168,2014-07-25,9275.7,5064.9,14340.6
169,2014-08-01,9277.0,5029.9,14306.9
170,2014-08-08,9188.0,5076.1,14264.1
171,2014-08-15,8902.7,5023.1,13925.800000000001
172,2014-08-22,8554.4,5027.2,13581.599999999999
173,2014-08-29,8718.8,4892.9,13611.699999999999
174,2014-09-05,8693.4,4721.4,13414.8
175,2014-09-12,8795.5,4729.7,13525.2
176,2014-09-19,8627.7,4677.3,13305.0
177,2014-09-26,8609.8,4600.7,13210.5
178,2014-10-03,8857.2,4543.6,13400.800000000001
179,2014-10-10,8882.1,4553.8,13435.900000000001
180,2014-10-17,8787.3,4677.6,13464.9
181,2014-10-24,8568.3,4631.7,13200.0
182,2014-10-31,8618.6,4824.2,13442.8
183,2014-11-07,8487.4,4780.4,13267.8
184,2014-11-14,8493.7,4734.4,13228.1
185,2014-11-21,8506.4,4713.5,13219.9
186,2014-11-28,8222.1,4764.5,12986.6
187,2014-12-05,9203.1,4719.3,13922.400000000001
188,2014-12-12,9346.5,4695.9,14042.4
189,2014-12-19,10364.6,4733.9,15098.5
190,2014-12-26,10304.9,4639.8,14944.7
191,2015-01-02,10475.8,4736.9,15212.699999999999
192,2015-01-09,10365.1,4695.1,15060.2
193,2015-01-16,10330.5,4689.3,15019.8
194,2015-01-23,10248.7,4815.2,15063.900000000001
195,2015-01-30,10358.1,4804.6,15162.7
196,2015-02-06,10416.6,4821.6,15238.2
197,2015-02-13,11194.2,4842.5,16036.7
198,2015-02-20,11074.9,4868.8,15943.7
199,2015-02-27,11207.4,4930.2,16137.599999999999
200,2015-03-06,11271.9,5012.3,16284.2
201,2015-03-13,11226.1,5047.6,16273.7
202,2015-03-20,11067.3,5064.6,16131.9
203,2015-03-27,11123.3,5070.9,16194.199999999999
204,2015-04-03,11616.5,5089.8,16706.3
205,2015-04-10,11758.7,5059.7,16818.4
206,2015-04-17,12364.0,5127.0,17491.0
207,2015-04-24,12565.1,5152.5,17717.6
208,2015-05-01,12517.3,5172.8,17690.1
209,2015-05-08,12549.9,5189.4,17739.3
210,2015-05-15,12511.7,5237.4,17749.1
211,2015-05-22,12284.4,5209.8,17494.2
212,2015-05-29,11913.4,5098.7,17012.1
213,2015-06-05,12312.7,5134.2,17446.9
214,2015-06-12,12284.3,5164.2,17448.5
215,2015-06-19,12315.6,5141.5,17457.1
216,2015-06-26,13088.2,5113.3,18201.5
217,2015-07-03,13535.2,5179.4,18714.6
218,2015-07-10,13469.4,5120.5,18589.9
219,2015-07-17,13543.0,5134.4,18677.4
220,2015-07-24,13385.8,5150.2,18536.0
221,2015-07-31,13767.0,5049.8,18816.8
222,2015-08-07,13627.8,5051.0,18678.8
223,2015-08-14,13615.2,5039.8,18655.0
224,2015-08-21,13458.4,5050.3,18508.7
225,2015-08-28,13460.5,5036.5,18497.0
226,2015-09-04,13555.7,5042.3,18598.0
227,2015-09-11,13689.5,5036.6,18726.1
228,2015-09-18,13496.2,5004.6,18500.800000000003
229,2015-09-25,13408.2,4940.9,18349.1
230,2015-10-02,15202.0,4852.2,20054.2
231,2015-10-09,15103.6,4889.5,19993.1
232,2015-10-16,15019.7,4901.1,19920.800000000003
233,2015-10-23,14918.3,4900.4,19818.699999999997
234,2015-10-30,14821.0,5024.5,19845.5
235,2015-11-06,14704.2,5042.1,19746.300000000003
236,2015-11-13,14588.7,5124.3,19713.0
237,2015-11-20,14676.6,5151.6,19828.2
238,2015-11-27,14787.3,5032.0,19819.3
239,2015-12-04,15441.4,5009.5,20450.9
240,2015-12-11,15719.3,4990.0,20709.3
241,2015-12-18,15612.8,4961.5,20574.3
242,2015-12-25,16171.6,4902.3,21073.9
243,2016-01-01,15883.4,4926.7,20810.1
244,2016-01-08,15824.0,4935.6,20759.6
245,2016-01-15,15752.3,4937.4,20689.699999999997
246,2016-01-22,15646.8,4855.3,20502.1
247,2016-01-29,15435.5,4859.0,20294.5
248,2016-02-05,15341.0,4854.8,20195.8
249,2016-02-12,15514.8,4873.1,20387.9
250,2016-02-19,15478.9,4854.0,20332.9
251,2016-02-26,15506.5,4845.8,20352.3
252,2016-03-04,15663.7,4858.3,20522.0
253,2016-03-11,15859.0,4859.4,20718.4
254,2016-03-18,15630.4,4891.1,20521.5
255,2016-03-25,15588.0,4835.6,20423.6
256,2016-04-01,16078.1,4806.8,20884.9
257,2016-04-08,16040.8,4793.5,20834.3
258,2016-04-15,16027.2,4752.6,20779.800000000003
259,2016-04-22,15988.8,4801.2,20790.0
260,2016-04-29,15904.9,4897.4,20802.3
261,2016-05-06,16032.7,4801.5,20834.2
262,2016-05-13,16517.5,4801.9,21319.4
263,2016-05-20,16810.4,4801.3,21611.7
264,2016-05-27,16807.2,4794.5,21601.7
265,2016-06-03,16462.6,4804.0,21266.6
266,2016-06-10,16546.2,4868.9,21415.1
267,2016-06-17,16815.5,4955.0,21770.5
268,2016-06-24,16819.6,4946.2,21765.8
269,2016-07-01,18128.9,4956.0,23084.9
270,2016-07-08,18104.4,4958.5,23062.9
271,2016-07-15,18077.4,5014.0,23091.4
272,2016-07-22,18036.9,4959.7,22996.600000000002
273,2016-07-29,18060.7,4942.9,23003.6
274,2016-08-05,17664.2,4930.9,22595.1
275,2016-08-12,17719.6,4903.6,22623.199999999997
276,2016-08-19,18186.8,4894.4,23081.199999999997
277,2016-08-26,18128.8,4909.9,23038.699999999997
278,2016-09-02,18065.3,4918.4,22983.699999999997
279,2016-09-09,17853.7,5004.7,22858.4
280,2016-09-16,17657.2,5040.7,22697.9
281,2016-09-23,18395.1,5022.9,23418.0
282,2016-09-30,18491.3,5128.5,23619.8
283,2016-10-07,18410.2,5081.9,23492.1
284,2016-10-14,19461.7,4999.7,24461.4
285,2016-10-21,19320.8,5005.7,24326.5
286,2016-10-28,19130.5,5058.8,24189.3
287,2016-11-04,19075.9,5077.5,24153.4
288,2016-11-11,19027.1,5068.7,24095.8
289,2016-11-18,18846.9,5018.3,23865.2
290,2016-11-25,18574.8,5040.0,23614.8
291,2016-12-02,18353.2,4991.2,23344.4
292,2016-12-09,18323.2,4971.6,23294.800000000003
293,2016-12-16,18190.4,4941.6,23132.0
294,2016-12-23,18299.4,4986.6,23286.0
295,2016-12-30,18271.7,4930.5,23202.2
296,2017-01-06,18309.7,4890.5,23200.2
297,2017-01-13,18361.0,4830.5,23191.5
298,2017-01-20,18383.5,4862.7,23246.2
299,2017-01-27,17593.8,4841.1,22434.9
300,2017-02-03,17217.8,4813.5,22031.3
301,2017-02-10,16993.4,4831.1,21824.5
302,2017-02-17,17027.8,4902.0,21929.8
303,2017-02-24,16850.8,4971.8,21822.6
304,2017-03-03,17139.7,5012.1,22151.800000000003
305,2017-03-10,17238.3,5035.7,22274.0
306,2017-03-17,16960.5,5089.7,22050.2
307,2017-03-24,16730.3,5065.6,21795.9
308,2017-03-31,16466.2,5105.9,21572.1
309,2017-04-07,16688.2,5055.9,21744.1
310,2017-04-14,16416.1,5152.0,21568.1
311,2017-04-21,16050.1,5100.7,21150.8
312,2017-04-28,16061.8,4957.4,21019.199999999997
313,2017-05-05,15912.5,4878.0,20790.5
314,2017-05-12,15895.9,4782.7,20678.6
315,2017-05-19,16212.6,4795.2,21007.8
316,2017-05-26,16921.9,4848.5,21770.4
317,2017-06-02,15706.6,4809.1,20515.7
318,2017-06-09,15296.3,4861.5,20157.8
319,2017-06-16,15420.8,4940.2,20361.0
320,2017-06-23,16376.0,4982.0,21358.0
321,2017-06-30,16144.8,5258.1,21402.9
322,2017-07-07,16197.3,5250.3,21447.6
323,2017-07-14,15478.5,5351.5,20830.0
324,2017-07-21,15003.1,5433.1,20436.2
325,2017-07-28,14698.2,5584.9,20283.1
326,2017-08-04,14398.8,5604.9,20003.699999999997
327,2017-08-11,14310.5,5631.3,19941.8
328,2017-08-18,14375.1,5671.2,20046.3
329,2017-08-25,14343.4,5657.7,20001.1
330,2017-08-31,14681.4,5719.5,20400.9
331,2017-09-08,14758.4,5826.8,20585.2
332,2017-09-15,14283.6,5816.1,20099.7
333,2017-09-22,14132.7,5918.9,20051.6
334,2017-09-29,13857.2,5918.0,19775.2
335,2017-10-06,13787.9,5884.1,19672.0
336,2017-10-13,14157.6,5895.3,20052.9
337,2017-10-20,13941.6,5960.5,19902.1
338,2017-10-27,13846.7,5996.1,19842.800000000003
339,2017-11-03,13861.2,6050.9,19912.1
340,2017-11-10,13677.6,6017.4,19695.0
341,2017-11-17,13541.1,6169.6,19710.7
342,2017-11-24,13547.3,6145.9,19693.199999999997
343,2017-11-30,12660.7,6113.0,18773.7
344,2017-12-08,14666.3,6020.4,20686.699999999997
345,2017-12-15,14332.2,6051.2,20383.4
346,2017-12-22,14133.3,6055.7,20189.0
347,2017-12-29,14106.9,6070.2,20177.1
348,2018-01-05,13982.5,6037.5,20020.0
349,2018-01-12,13699.0,6072.5,19771.5
350,2018-01-19,13532.8,6107.6,19640.4
351,2018-01-26,13234.0,6120.5,19354.5
352,2018-02-02,13060.6,6122.3,19182.9
353,2018-02-09,12833.9,6134.2,18968.1
354,2018-02-16,12703.7,6125.0,18828.7
355,2018-02-23,12345.6,6067.7,18413.3
356,2018-03-02,12233.2,6096.0,18329.2
357,2018-03-09,12125.7,6114.7,18240.4
358,2018-03-16,11944.0,6135.0,18079.0
359,2018-03-22,11776.1,6172.3,17948.4
360,2018-03-30,11602.0,6194.4,17796.4
361,2018-04-06,11438.3,6201.5,17639.8
362,2018-04-13,11379.6,6165.9,17545.5
363,2018-04-20,10917.0,6213.6,17130.6
364,2018-04-27,11510.3,6202.6,17712.9
365,2018-05-04,11162.7,6123.7,17286.4
366,2018-05-11,10798.9,6268.1,17067.0
367,2018-05-18,10320.2,6332.0,16652.2
368,2018-05-25,10033.8,6373.0,16406.8
369,2018-06-01,10041.6,6378.0,16419.6
370,2018-06-08,10065.6,6391.5,16457.1
371,2018-06-14,10264.3,6533.7,16798.0
372,2018-06-22,9662.5,6581.4,16243.9
373,2018-06-29,9789.0,6618.4,16407.4
374,2018-07-06,9479.5,6604.8,16084.3
375,2018-07-13,9063.6,6618.9,15682.5
376,2018-07-20,9010.7,6718.1,15728.800000000001
377,2018-07-27,10349.7,6730.0,17079.7
378,2018-08-03,10369.1,6635.9,17005.0
379,2018-08-10,10152.6,6560.2,16712.8
380,2018-08-17,10234.8,6488.0,16722.8
381,2018-08-24,10226.7,6458.4,16685.1
382,2018-08-31,9885.2,6504.7,16389.9
383,2018-09-07,9624.4,6445.5,16069.9
384,2018-09-14,9328.8,6461.3,15790.099999999999
385,2018-09-19,9036.199999999999,6485.3,15521.5
